longitude,latitude,perturbed_longitude,perturbed_latitude
-77.6201904,43.0801749,-77.62054761656228,43.08017127898173
-77.6201904,43.0801749,-77.62047224402137,43.08084392649235
-77.6201901,43.0801735,-77.62317895790163,43.07920885991481
-77.6201901,43.0801735,-77.62027350342738,43.08109238174739
-77.6201929,43.0801674,-77.61276789189638,43.07901655548023
-77.6201929,43.0801674,-77.6202647393547,43.08126975198103
-77.6201958,43.0801594,-77.61962019836176,43.075009683523845
-77.6201958,43.0801594,-77.6203452988827,43.07933754623504
-77.6201973,43.0801544,-77.61954464668005,43.08174719495272
-77.6201973,43.0801544,-77.61961099814465,43.08170764591072
-77.6201978,43.0801523,-77.61882356172487,43.07775634158642
-77.6201978,43.0801523,-77.61913824387959,43.079661563723306
-77.6201985,43.0801509,-77.62175471354907,43.08205139533113
-77.6201985,43.0801509,-77.61877545241057,43.08071896087517
-77.620196,43.0801464,-77.61888162468172,43.077982626051146
-77.620196,43.0801464,-77.62093828061988,43.081862471090325
-77.6201922,43.0801423,-77.62018238931219,43.08026849915666
-77.6201922,43.0801423,-77.6185776962149,43.07915104416981
-77.6201901,43.0801408,-77.6205144824234,43.07847803792888
-77.6201901,43.0801408,-77.62258731081674,43.07984436904083
-77.6201879,43.0801401,-77.61668444346834,43.080030403965054
-77.6201879,43.0801401,-77.62186537382337,43.080767933943996
-77.6201822,43.0801407,-77.62414986726694,43.07941780446211
-77.6201822,43.0801407,-77.61747330399534,43.08251779051521
-77.6201789,43.0801413,-77.61872004882467,43.08142019024274
-77.6201789,43.0801413,-77.61969991164112,43.07963616905512
-77.6201777,43.0801414,-77.62040686939321,43.0822406688769
-77.6201777,43.0801414,-77.6203792948529,43.07848572623568
-77.6201742,43.0801405,-77.62298939568629,43.07914458114723
-77.6201742,43.0801405,-77.61800622484394,43.08077330834781
-77.6201697,43.080137,-77.62108410817164,43.081675532454746
-77.6201697,43.080137,-77.62096656618772,43.079977926503375
-77.6201756,43.0801438,-77.62062442988747,43.082158969100924
-77.6201756,43.0801438,-77.6186116456264,43.08571001656592
-77.6201744,43.0801425,-77.61813983054769,43.08284740235717
-77.6201744,43.0801425,-77.62004743282455,43.08044359986702
-77.6201717,43.08014,-77.61917026843733,43.0811040291023
