longitude,latitude,perturbed_longitude,perturbed_latitude
-77.6200075,43.0800289,-77.6230915528549,43.07793082090601
-77.6200075,43.0800289,-77.61675216814791,43.076315459760615
-77.6200349,43.0800282,-77.62119539743722,43.07852858262941
-77.6200349,43.0800282,-77.6201784800106,43.079589441954404
-77.6200524,43.080029,-77.62260150188122,43.07743472321328
-77.6200524,43.080029,-77.62222723718592,43.08168452594932
-77.6200554,43.0800136,-77.6222661458097,43.07893057724109
-77.6200554,43.0800136,-77.61967341964998,43.080755704195
-77.6200557,43.080002,-77.62180811223453,43.08148479921898
-77.6200557,43.080002,-77.61989163123556,43.08119916459708
-77.6200597,43.0799908,-77.62037742769934,43.079314029187174
-77.6200597,43.0799908,-77.62105396484625,43.07782293540871
-77.620064,43.0799783,-77.62008226463493,43.0801180850481
-77.620064,43.0799783,-77.61982306357652,43.075922158426174
-77.620066,43.079974,-77.62205372868031,43.08070307985906
-77.620066,43.079974,-77.61887600120802,43.07928503049181
-77.6200695,43.079972,-77.61823784333944,43.07860403157333
-77.6200695,43.079972,-77.62577372506368,43.084996120672415
-77.6200729,43.0799696,-77.62113885032706,43.0801405515714
-77.6200729,43.0799696,-77.62145175878655,43.080215985885125
-77.6200784,43.0799675,-77.62087661115439,43.080851482425416
-77.6200784,43.0799675,-77.62311037951258,43.077236914264816
-77.6200837,43.079966,-77.61715802115211,43.08226074727247
-77.6200837,43.079966,-77.62100716916471,43.080766839473945
-77.6200911,43.0799657,-77.6174121873754,43.07876104017072
-77.6200911,43.0799657,-77.62117827121604,43.08085083539988
-77.6201016,43.0799641,-77.61655859609135,43.07772193721454
-77.6201016,43.0799641,-77.61742491938173,43.08027344295536
-77.6201119,43.0799627,-77.62131917695093,43.07893123463994
-77.6201119,43.0799627,-77.62145920948952,43.08141596880621
-77.6201254,43.0799612,-77.6177033645453,43.08084621228168
-77.6201254,43.0799612,-77.62160125294376,43.07957212981069
-77.6201352,43.0799606,-77.6208723690067,43.08041520708435
-77.6201352,43.0799606,-77.6222660617959,43.080561961005365
-77.6201491,43.0799592,-77.62002754737408,43.08101509147606
-77.6201491,43.0799592,-77.62056117176412,43.07819957689468
-77.6201579,43.0799583,-77.61717995883458,43.080027193464765
-77.6201579,43.0799583,-77.622653478293,43.07949325280478
-77.6201662,43.0799531,-77.61884332491171,43.08039433371117
-77.6201662,43.0799531,-77.61737412561517,43.079983028629044
-77.6201721,43.0799502,-77.61814479106734,43.079295959504186
-77.6201721,43.0799502,-77.62206671234851,43.081082889170794
-77.6201805,43.079946,-77.6193802196488,43.07913696467111
-77.6201805,43.079946,-77.61971557148614,43.07634880151354
-77.6201885,43.0799427,-77.61947443164254,43.078750921562
-77.6201885,43.0799427,-77.61940133711585,43.08085314376996
-77.6201974,43.0799403,-77.61586649707469,43.083227151182335
-77.6201974,43.0799403,-77.61518070260239,43.081074966092544
-77.6202063,43.0799376,-77.62151287583634,43.081246253961034
-77.6202063,43.0799376,-77.61995119699121,43.08074462377428
-77.620214,43.0799352,-77.62164947625999,43.07915506879316
-77.620214,43.0799352,-77.6198360126522,43.07995582430461
-77.6202228,43.0799312,-77.6203366538376,43.075763774294494
-77.6202228,43.0799312,-77.61509071661692,43.08153906873873
-77.6202313,43.0799282,-77.6198452935261,43.07987287027351
-77.6202313,43.0799282,-77.62005218396357,43.079723444000074
-77.6202387,43.0799235,-77.61789932389408,43.07606529150778
-77.6202387,43.0799235,-77.61240546830349,43.075197613447386
-77.6202462,43.0799173,-77.62114756252201,43.08034912075956
