longitude,latitude,perturbed_longitude,perturbed_latitude
-77.6803332,43.0838378,-77.6838581867727,43.08568148365776
-77.6803332,43.0838378,-77.67993592258972,43.08576765485126
-77.6809913,43.0838029,-77.68287131353709,43.08399961107304
-77.6809913,43.0838029,-77.68168960246845,43.08558615483411
-77.681017,43.0838025,-77.68196140193281,43.08417674173843
-77.681017,43.0838025,-77.67882306245784,43.08545367064107
-77.681042,43.0838023,-77.67801768157157,43.07870010143032
-77.681042,43.0838023,-77.68017218085132,43.08498377170912
-77.6810655,43.0838023,-77.67887068818982,43.084355827593676
-77.6810655,43.0838023,-77.68379335873455,43.08077200157576
-77.6810896,43.0838021,-77.67856915675584,43.08206962296901
-77.6810896,43.0838021,-77.6789146216525,43.084690839724196
-77.6811165,43.0838003,-77.68106298612702,43.08394291487315
-77.6811165,43.0838003,-77.68272571037166,43.0852872592473
-77.6811252,43.0838014,-77.67883075763008,43.08382175080123
-77.6811252,43.0838014,-77.67989781409818,43.08857632731102
-77.6811302,43.0838029,-77.67708031661152,43.08475414058024
-77.6811302,43.0838029,-77.67981655899399,43.08729537179379
-77.6811369,43.0838053,-77.6844504736777,43.084401465142804
-77.6811369,43.0838053,-77.68016624842205,43.085560819993105
-77.6811359,43.0838042,-77.68680118217581,43.08119668106608
-77.6811359,43.0838042,-77.68499372708831,43.07533032641585
-77.6811284,43.0838052,-77.68603423232213,43.078645384811246
-77.6811284,43.0838052,-77.6815369467385,43.07904126502018
-77.6811264,43.0838049,-77.68292038229683,43.08353540235164
-77.6811264,43.0838049,-77.68041196205147,43.0846937706235
-77.6811239,43.0838051,-77.68103297747275,43.085975849567674
-77.6811239,43.0838051,-77.67875547168664,43.08434954845235
-77.6811209,43.0838052,-77.6808783359168,43.08354421612824
-77.6811209,43.0838052,-77.683971042934,43.087267971779426
-77.6811175,43.0838062,-77.68013935193977,43.08564808861362
-77.6811175,43.0838062,-77.68714486045376,43.07910876852704
-77.6811141,43.0838065,-77.68257688432524,43.08204956636179
-77.6811141,43.0838065,-77.67703672470435,43.08782914708089
-77.6811109,43.0838076,-77.6794573135023,43.085152996641476
-77.6811109,43.0838076,-77.68531098355355,43.07815411997606
-77.6811108,43.0838074,-77.68172747775274,43.08345297635153
-77.6811108,43.0838074,-77.67867711542533,43.083123408688905
-77.6811066,43.0838085,-77.67975984487968,43.083145256864796
-77.6811066,43.0838085,-77.67769883479572,43.07892973441944
-77.6811054,43.0838087,-77.67895084317422,43.08689914991481
-77.6811054,43.0838087,-77.67964724867714,43.08528363277805
-77.6811048,43.0838089,-77.67893832407745,43.081342045589885
-77.6811048,43.0838089,-77.68178023898356,43.08625150907489
-77.6811054,43.0838089,-77.68384079082223,43.08044038659985
-77.6811054,43.0838089,-77.68459018145326,43.08314053248995
-77.6811052,43.0838093,-77.68161005300232,43.080180234321645
