longitude,latitude,perturbed_longitude,perturbed_latitude
-77.6201904,43.0801749,-77.62008701398939,43.08082765632477
-77.6201904,43.0801749,-77.62229034315412,43.07915668652056
-77.6201901,43.0801735,-77.61940459506178,43.079845388136555
-77.6201901,43.0801735,-77.62161203838544,43.07808057921932
-77.6201929,43.0801674,-77.6188813348918,43.079880322934166
-77.6201929,43.0801674,-77.62651567801016,43.08309895374479
-77.6201958,43.0801594,-77.62075761434798,43.08004276210612
-77.6201958,43.0801594,-77.62096154784325,43.08109318725277
-77.6201973,43.0801544,-77.62169171496171,43.08182611532587
-77.6201973,43.0801544,-77.61991919663812,43.07946421192927
-77.6201978,43.0801523,-77.62006838120436,43.07490498088386
-77.6201978,43.0801523,-77.62088377000177,43.08087860023902
-77.6201985,43.0801509,-77.62256170581139,43.08112807601046
-77.6201985,43.0801509,-77.61932519671986,43.078713168675385
-77.620196,43.0801464,-77.62216022938198,43.08114694794115
-77.620196,43.0801464,-77.61989619067187,43.079865589980216
-77.6201922,43.0801423,-77.61774816399378,43.07857828788478
-77.6201922,43.0801423,-77.6216562735527,43.074502839962605
-77.6201901,43.0801408,-77.62004756138296,43.084554254537515
-77.6201901,43.0801408,-77.62199316848258,43.082585946765015
-77.6201879,43.0801401,-77.621582359119,43.078989441514516
-77.6201879,43.0801401,-77.62057612158311,43.075192103238955
-77.6201822,43.0801407,-77.61614100565609,43.08020293902197
-77.6201822,43.0801407,-77.61793801833687,43.07956018288258
-77.6201789,43.0801413,-77.61679951992559,43.079778748831124
-77.6201789,43.0801413,-77.61751331626303,43.08325956799886
-77.6201777,43.0801414,-77.623299574566,43.08004092537777
-77.6201777,43.0801414,-77.61749424234388,43.079267310832236
-77.6201742,43.0801405,-77.6202389057026,43.08001562284188
-77.6201742,43.0801405,-77.62577774105908,43.082341742010485
-77.6201697,43.080137,-77.62228298590325,43.08184593213373
-77.6201697,43.080137,-77.61945213238647,43.079844504652385
-77.6201756,43.0801438,-77.62177038664039,43.08078247584541
-77.6201756,43.0801438,-77.62084443259732,43.07544637066272
-77.6201744,43.0801425,-77.62270782325919,43.07918383984883
-77.6201744,43.0801425,-77.62279438030507,43.07239392281995
-77.6201717,43.08014,-77.62184883753908,43.08093462895753
-77.6201717,43.08014,-77.61797426291837,43.08280696130883
-77.6201672,43.0801357,-77.62000134321765,43.07997803463834
-77.6201672,43.0801357,-77.62177226122951,43.07807614868418
-77.6201626,43.0801305,-77.62071775873999,43.08130071615563
-77.6201626,43.0801305,-77.62095459956907,43.07993549493476
-77.6201518,43.0801124,-77.61610390504559,43.08570984636755
-77.6201518,43.0801124,-77.62105194346519,43.08230093391223
-77.6201448,43.0800995,-77.62509449594246,43.08240391156138
-77.6201448,43.0800995,-77.62229365933464,43.08049180066003
-77.6201414,43.0800929,-77.62009940588264,43.0746594978558
-77.6201414,43.0800929,-77.62098469816081,43.08022083805971
-77.6201266,43.080085,-77.62577417834827,43.0756596927937
-77.6201266,43.080085,-77.61917761091813,43.08136429617626
-77.6201225,43.0800799,-77.62057787618902,43.07928857105366
-77.6201225,43.0800799,-77.62009746374909,43.08048817125012
-77.6201203,43.0800691,-77.62343933943053,43.080897886209456
-77.6201203,43.0800691,-77.62078676641765,43.0782587084298
-77.6201164,43.0800587,-77.6167190861809,43.07564098762514
-77.6201164,43.0800587,-77.61356153122982,43.07823104921415
-77.6201083,43.0800501,-77.61955830573545,43.0773714759709
-77.6201083,43.0800501,-77.62219048659637,43.08073694568787
-77.6201025,43.0800457,-77.62040480930003,43.07258669957288
-77.6201025,43.0800457,-77.62029112947741,43.07891878329682
-77.6200908,43.0800402,-77.6167585187936,43.078511308809325
-77.6200908,43.0800402,-77.61877827297813,43.07653569722523
-77.6200847,43.080039,-77.61631138644003,43.08258899158844
-77.6200847,43.080039,-77.6193776012853,43.08093412603522
-77.6200734,43.0800363,-77.62000644306963,43.08030524677744
-77.6200734,43.0800363,-77.62306327274845,43.075776521770216
-77.6200596,43.0800346,-77.6173078304117,43.077762897156916
-77.6200596,43.0800346,-77.61787868236063,43.077655630608035
-77.6200488,43.0800338,-77.61977436235532,43.080196638026464
-77.6200488,43.0800338,-77.62041634541274,43.07521349947418
-77.6200358,43.0800357,-77.61989158707158,43.0796796135709
-77.6200358,43.0800357,-77.61774618608723,43.077172147355164
-77.6200078,43.0800392,-77.61883040091222,43.079592584033016
-77.6200078,43.0800392,-77.61051018145201,43.080972185255774
-77.6199964,43.0800475,-77.62642346484556,43.07494363839761
-77.6199964,43.0800475,-77.6210317693342,43.077966751384714
-77.6199909,43.0800553,-77.62051135074401,43.082061455599124
-77.6199909,43.0800553,-77.6205272716196,43.08432403382677
-77.6199867,43.0800655,-77.62015476782764,43.08028897501476
-77.6199867,43.0800655,-77.62429262289582,43.078969700692255
-77.6199826,43.0800772,-77.61933885007666,43.074686823079766
-77.6199826,43.0800772,-77.61870299138178,43.07882591218853
-77.6199801,43.0800851,-77.61872065341142,43.082478794529074
-77.6199801,43.0800851,-77.62205295211353,43.08080645261858
-77.619977,43.0800911,-77.62469658901016,43.082928821355715
-77.619977,43.0800911,-77.61675740395746,43.08498803581559
-77.619974,43.0800997,-77.62312106360075,43.078707058348485
-77.619974,43.0800997,-77.6198507138782,43.081230035658415
-77.6199718,43.080104,-77.62261425306612,43.078835435381244
-77.6199718,43.080104,-77.62350557947012,43.08059007561126
-77.619968,43.0801133,-77.62065170833907,43.08153355942553
-77.619968,43.0801133,-77.62135160166105,43.080764337603185
-77.6199632,43.0801263,-77.62492011626911,43.0846758910127
-77.6199632,43.0801263,-77.60878109908715,43.08270595762155
-77.6199587,43.0801329,-77.61986801532595,43.07787056005719
-77.6199587,43.0801329,-77.61498938730493,43.07948414822273
-77.6199557,43.0801444,-77.61747467594319,43.0809746853904
-77.6199557,43.0801444,-77.61687850535728,43.08240333558251
-77.6199475,43.0801558,-77.61940751263528,43.083047743638865
-77.6199475,43.0801558,-77.61694897333574,43.083837565074525
-77.6199394,43.0801633,-77.62332444113618,43.078819156360254
-77.6199394,43.0801633,-77.6197660648017,43.077395767743376
-77.6199327,43.0801695,-77.61684689756333,43.0799106611083
-77.6199327,43.0801695,-77.62053466913619,43.080279760947384
-77.6199247,43.0801758,-77.61852090954545,43.0800934062272
-77.6199247,43.0801758,-77.62076322203247,43.07761208573449
-77.6199201,43.0801826,-77.62059323779721,43.080982184867516
-77.6199201,43.0801826,-77.621951366109,43.07660612432273
-77.6199151,43.0801893,-77.62061996313265,43.0844830184175
-77.6199151,43.0801893,-77.61498820208294,43.082350616354184
-77.6199115,43.0801942,-77.62242740183842,43.081240463025836
-77.6199115,43.0801942,-77.61879740804257,43.07980650561891
-77.619907,43.0802016,-77.62104796381273,43.08012562824762
-77.619907,43.0802016,-77.61791279079503,43.0839749731999
-77.6199048,43.0802058,-77.62674012655702,43.0855040762278
-77.6199048,43.0802058,-77.62032901226448,43.08176495080112
-77.6199018,43.0802133,-77.62086436987381,43.08398428185557
-77.6199018,43.0802133,-77.61963248780826,43.07664123891785
-77.6198974,43.0802221,-77.62000277615401,43.08165629811387
-77.6198974,43.0802221,-77.62172563694351,43.079386424490444
-77.6198935,43.0802356,-77.62569844384771,43.07389772541713
-77.6198935,43.0802356,-77.62350017396686,43.07725610939954
-77.6198887,43.0802443,-77.62405305477463,43.08275726694855
-77.6198887,43.0802443,-77.61879288980565,43.085066270092426
-77.6198826,43.0802555,-77.61951588788148,43.08257453541055
-77.6198826,43.0802555,-77.62050081635137,43.080611659305205
-77.6198744,43.0802625,-77.62242504118544,43.084687013819334
-77.6198744,43.0802625,-77.619574551941,43.08419730460078
-77.6198683,43.0802673,-77.62221815531963,43.07865522355163
-77.6198683,43.0802673,-77.61226627745269,43.088779917724196
-77.6198563,43.0802777,-77.61920262973076,43.09535845280806
-77.6198563,43.0802777,-77.61696931125753,43.08084218500729
-77.6198473,43.0802839,-77.61919229939605,43.081629614008115
-77.6198473,43.0802839,-77.61968753314729,43.08053447516487
-77.6198381,43.0802883,-77.6169546386301,43.0836288247765
-77.6198381,43.0802883,-77.62073993088255,43.080472706180586
-77.6198308,43.0802914,-77.61978585763899,43.08281600379131
-77.6198308,43.0802914,-77.62134891471742,43.08099188700921
-77.6198214,43.0802945,-77.61904406704501,43.08148388708955
-77.6198214,43.0802945,-77.61785404722177,43.077128603188086
-77.619807,43.0803059,-77.62019516216452,43.08031501038319
-77.619807,43.0803059,-77.61424562697489,43.07861142369757
-77.6197931,43.0803079,-77.61784336181827,43.08394773177922
-77.6197931,43.0803079,-77.62224943197185,43.08289055954629
-77.619785,43.08031,-77.61550709687172,43.08299618282399
-77.619785,43.08031,-77.62151917485434,43.079395134967605
-77.6197751,43.0803125,-77.61970818562021,43.07776698095591
-77.6197751,43.0803125,-77.61762200484357,43.0785758985939
-77.6197606,43.0803172,-77.62087986483333,43.079334979919025
-77.6197606,43.0803172,-77.61835713305686,43.08153818500053
-77.6197492,43.0803184,-77.61601972246872,43.07674677112709
-77.6197492,43.0803184,-77.6166734098485,43.081093443476604
-77.6197455,43.0803188,-77.61961695260851,43.08146575480733
-77.6197455,43.0803188,-77.62298318595185,43.0879541973284
-77.6197368,43.0803197,-77.6196714240664,43.080674342642034
-77.6197368,43.0803197,-77.62216587443672,43.08284397199721
-77.61973,43.0803202,-77.62067512400786,43.08013343865465
-77.61973,43.0803202,-77.6182316718971,43.08292098332118
-77.619724,43.0803199,-77.62210003179845,43.08043101288645
-77.619724,43.0803199,-77.61988900783234,43.079439614495286
-77.619714,43.0803202,-77.6212138954942,43.085629044759884
-77.619714,43.0803202,-77.6196769115459,43.07802836629063
-77.619701,43.0803212,-77.61984506568437,43.085327109318214
-77.619701,43.0803212,-77.6201065577747,43.08828583765797
-77.619694,43.0803224,-77.62005486467196,43.08249365982619
-77.619694,43.0803224,-77.62311168676857,43.080161980213994
-77.6196837,43.0803246,-77.61930257851226,43.08189763561374
-77.6196837,43.0803246,-77.61991487095133,43.080586565292215
-77.6196814,43.0803261,-77.61828108277119,43.081420435896476
-77.6196814,43.0803261,-77.61924185241033,43.08103390344497
-77.6196758,43.080328,-77.61670978416528,43.07524608586518
-77.6196758,43.080328,-77.61886191440009,43.082469259803645
-77.6196634,43.0803404,-77.62176549549329,43.07911824576799
-77.6196634,43.0803404,-77.62014951576005,43.082894554370846
-77.619658,43.0803428,-77.61719144735815,43.080831799651776
-77.619658,43.0803428,-77.62219900512291,43.080594946248134
-77.6196517,43.0803451,-77.61672633051151,43.080123482895274
-77.6196517,43.0803451,-77.61852952836682,43.08146245955847
-77.6196424,43.0803484,-77.61188666237109,43.076999735260294
-77.6196424,43.0803484,-77.6175560676403,43.071246364615554
-77.6196314,43.0803514,-77.62372999187829,43.07469041606556
-77.6196314,43.0803514,-77.6186625798688,43.080565563351406
-77.6196151,43.0803562,-77.6214176135309,43.08120111392485
-77.6196151,43.0803562,-77.62104022294105,43.079012346152474
-77.6196062,43.0803755,-77.6182994304886,43.07883122998178
-77.6196062,43.0803755,-77.6215278318925,43.077503020712555
-77.6195995,43.0803791,-77.61783543676842,43.080927547910804
-77.6195995,43.0803791,-77.61927530793245,43.08268295948959
-77.6195887,43.0803823,-77.61642775376156,43.075586831279786
-77.6195887,43.0803823,-77.62008107961272,43.08959306488328
-77.6195825,43.0803846,-77.62446232518239,43.0819115763073
-77.6195825,43.0803846,-77.62138319100839,43.07836468074416
-77.6195746,43.0803882,-77.62046883378689,43.08052978213649
-77.6195746,43.0803882,-77.61557910009486,43.08208318245595
-77.6195601,43.080391,-77.61701646631114,43.07963724123036
-77.6195601,43.080391,-77.61768933934388,43.080753974945594
-77.6195547,43.0804002,-77.61112862573583,43.091309769132764
-77.6195547,43.0804002,-77.61624837004412,43.079214285267206
-77.6195471,43.0804014,-77.61891732783573,43.080500576724056
-77.6195471,43.0804014,-77.6200265262614,43.08607146535672
-77.6195376,43.0804027,-77.61562658003335,43.07717688560492
-77.6195376,43.0804027,-77.61644300639439,43.080637686241225
-77.6195261,43.0804037,-77.61930735241107,43.08041994980448
-77.6195261,43.0804037,-77.61810842671338,43.07944055716843
-77.6195089,43.0804049,-77.62428998104235,43.08267283096625
-77.6195089,43.0804049,-77.6208961412798,43.08085407416804
-77.6194947,43.080405,-77.61770848031826,43.07309272510491
-77.6194947,43.080405,-77.61917846423154,43.081226168044175
-77.6194867,43.0804096,-77.62108194590155,43.08131368843947
-77.6194867,43.0804096,-77.6157377898457,43.08224657532958
-77.6194809,43.0804096,-77.62051543022926,43.079630431216906
-77.6194809,43.0804096,-77.62543684472682,43.078631086181744
-77.6194698,43.0804097,-77.62082056818358,43.07963902393644
-77.6194698,43.0804097,-77.61826581413534,43.07975516463622
-77.6194582,43.0804085,-77.61730304327074,43.07815870867498
-77.6194582,43.0804085,-77.62011075315587,43.07732351595827
-77.6194418,43.0804085,-77.61788652829128,43.08437489331829
-77.6194418,43.0804085,-77.61971879971333,43.081063677273804
-77.6194276,43.0804077,-77.62025945251442,43.079054627590835
-77.6194276,43.0804077,-77.62391938954777,43.077631574155276
-77.6194122,43.0804039,-77.61515860756772,43.082291142199125
-77.6194122,43.0804039,-77.6134642369135,43.07910920952104
-77.6193989,43.0804022,-77.62657005206407,43.082090423315336
-77.6193989,43.0804022,-77.61496485878016,43.082269220556974
-77.6193924,43.0804021,-77.61489083613876,43.07930226367516
-77.6193924,43.0804021,-77.62459158169678,43.08407921005127
-77.6193829,43.0804021,-77.61817771321971,43.07822098170672
-77.6193829,43.0804021,-77.61951985148565,43.080855579513454
-77.619367,43.0804008,-77.62065873107949,43.07715470632015
-77.619367,43.0804008,-77.6170121198262,43.07561169802958
-77.6193604,43.0804001,-77.61700448180694,43.08030208394293
-77.6193604,43.0804001,-77.6202287982275,43.07986829954131
-77.6193534,43.0803995,-77.61562096464232,43.08257158090533
-77.6193534,43.0803995,-77.61996102624775,43.08150462121643
-77.6193427,43.0803981,-77.62146977865558,43.08579053500363
-77.6193427,43.0803981,-77.61852676568574,43.07922988319514
-77.6193309,43.0803957,-77.61785113334626,43.081949274883314
-77.6193309,43.0803957,-77.61942969002396,43.08785629490368
-77.6193138,43.0803927,-77.61143543790823,43.07468365440426
