longitude,latitude,perturbed_longitude,perturbed_latitude
-77.6803332,43.0838378,-77.67818995631956,43.08379054297797
-77.6803332,43.0838378,-77.68057683140142,43.083898880607315
-77.6809913,43.0838029,-77.68226397347631,43.08393454028683
-77.6809913,43.0838029,-77.68109437558815,43.087842427691996
-77.681017,43.0838025,-77.68290278736829,43.083747937549006
-77.681017,43.0838025,-77.68372686209946,43.084343708491105
-77.681042,43.0838023,-77.68149941885696,43.08436524301136
-77.681042,43.0838023,-77.68025256401752,43.0839669646806
-77.6810655,43.0838023,-77.68005585908531,43.085707935249786
-77.6810655,43.0838023,-77.68167177616765,43.08344801259186
-77.6810896,43.0838021,-77.67800149526103,43.08341777440046
-77.6810896,43.0838021,-77.6804108808561,43.082523860401935
-77.6811165,43.0838003,-77.6812828734368,43.0843327990763
-77.6811165,43.0838003,-77.6823501599219,43.084644211130325
-77.6811252,43.0838014,-77.68072143583647,43.083794693874175
-77.6811252,43.0838014,-77.68184009721627,43.08387696948929
-77.6811302,43.0838029,-77.68040767016308,43.0797366489155
-77.6811302,43.0838029,-77.67858305673411,43.08204756696573
-77.6811369,43.0838053,-77.6789009059054,43.083284071042165
-77.6811369,43.0838053,-77.67929049307538,43.0812863409067
-77.6811359,43.0838042,-77.6799968973159,43.08245202209069
-77.6811359,43.0838042,-77.68010033029532,43.08372952246325
-77.6811284,43.0838052,-77.68163042294468,43.086743556165835
-77.6811284,43.0838052,-77.68099613319677,43.08124739515884
-77.6811264,43.0838049,-77.68080435590538,43.08510948416266
-77.6811264,43.0838049,-77.68451370617527,43.08581903248967
-77.6811239,43.0838051,-77.6796621586008,43.08139130807555
-77.6811239,43.0838051,-77.68122734773337,43.08603102074494
-77.6811209,43.0838052,-77.68044791163601,43.081632130546325
-77.6811209,43.0838052,-77.67948633752404,43.08391473488674
-77.6811175,43.0838062,-77.67710732174442,43.08455485027714
-77.6811175,43.0838062,-77.68234107960049,43.081666943527594
-77.6811141,43.0838065,-77.68273579475172,43.08573793270423
-77.6811141,43.0838065,-77.68267688810921,43.084092413602335
-77.6811109,43.0838076,-77.67820338041795,43.08192121966515
-77.6811109,43.0838076,-77.68121698402122,43.083791670515495
-77.6811108,43.0838074,-77.6836716373602,43.0850003217579
-77.6811108,43.0838074,-77.68074836479664,43.08387495733404
-77.6811066,43.0838085,-77.68171491294207,43.08302659789371
-77.6811066,43.0838085,-77.68061207615007,43.08228993303114
-77.6811054,43.0838087,-77.6823059676703,43.084935769192526
-77.6811054,43.0838087,-77.68236678294238,43.083377495885486
-77.6811048,43.0838089,-77.68058986356165,43.08358133567259
-77.6811048,43.0838089,-77.68255257817984,43.08246425335277
-77.6811054,43.0838089,-77.68073858161458,43.08573197388511
-77.6811054,43.0838089,-77.68073458033656,43.08426314445602
-77.6811052,43.0838093,-77.68190040260849,43.08378676084697
-77.6811052,43.0838093,-77.67817214309049,43.08142416466335
-77.6810917,43.0838157,-77.68324300029475,43.0829078774715
-77.6810917,43.0838157,-77.68249130420547,43.08229298539286
-77.6810858,43.0838189,-77.68148549146217,43.082702281757605
-77.6810858,43.0838189,-77.68132767701516,43.08343369950522
