longitude,latitude,perturbed_longitude,perturbed_latitude
-77.6201904,43.0801749,-77.61902907449964,43.07828446987891
-77.6201904,43.0801749,-77.61271004285857,43.083720816644316
-77.6201901,43.0801735,-77.62030146808108,43.0808910826661
-77.6201901,43.0801735,-77.6193168337919,43.07807155109687
-77.6201929,43.0801674,-77.62076054590092,43.08033272892643
-77.6201929,43.0801674,-77.61961285056366,43.08016551446504
-77.6201958,43.0801594,-77.61991384917873,43.081344972896254
-77.6201958,43.0801594,-77.61975477292455,43.078769728449366
-77.6201973,43.0801544,-77.61965720673686,43.07913063171181
-77.6201973,43.0801544,-77.61978351874761,43.07902855912433
-77.6201978,43.0801523,-77.6189904596463,43.0810900841021
-77.6201978,43.0801523,-77.61918231358628,43.08103494837182
-77.6201985,43.0801509,-77.616286371821,43.07796628809758
-77.6201985,43.0801509,-77.62408405836266,43.07575037545151
-77.620196,43.0801464,-77.61970955630903,43.08142623649523
-77.620196,43.0801464,-77.62029759315806,43.080883309598626
-77.6201922,43.0801423,-77.62062618822466,43.08096953837699
-77.6201922,43.0801423,-77.62055019061343,43.07865138382396
-77.6201901,43.0801408,-77.62016285807451,43.07807893063984
-77.6201901,43.0801408,-77.61950132663331,43.07857929479311
-77.6201879,43.0801401,-77.62032327978227,43.07511052861467
-77.6201879,43.0801401,-77.61930674331902,43.0796799813809
-77.6201822,43.0801407,-77.62075223869186,43.08010927669264
-77.6201822,43.0801407,-77.61962513077391,43.07782270981535
-77.6201789,43.0801413,-77.62175605490849,43.08020021791644
-77.6201789,43.0801413,-77.61930638932098,43.08105427448673
-77.6201777,43.0801414,-77.61723133573271,43.083190106811095
-77.6201777,43.0801414,-77.62079325948525,43.07985318265776
-77.6201742,43.0801405,-77.62147903870147,43.08659567959252
-77.6201742,43.0801405,-77.62046322104885,43.082489084883996
-77.6201697,43.080137,-77.61797669663386,43.08059457623458
-77.6201697,43.080137,-77.61916519664847,43.079308781218515
-77.6201756,43.0801438,-77.61963855290107,43.079976171725455
-77.6201756,43.0801438,-77.62066963689973,43.07997700285782
-77.6201744,43.0801425,-77.62183445728816,43.0757370535191
-77.6201744,43.0801425,-77.61909401049888,43.07945829902681
-77.6201717,43.08014,-77.61736902192841,43.08225113466633
-77.6201717,43.08014,-77.61915547627964,43.08128850253445
-77.6201672,43.0801357,-77.62024122705905,43.08088074336356
-77.6201672,43.0801357,-77.619076171483,43.08013859806868
-77.6201626,43.0801305,-77.62049757495836,43.08058043581221
-77.6201626,43.0801305,-77.62129904388416,43.07597466030969
-77.6201518,43.0801124,-77.61968056615356,43.08063538421792
-77.6201518,43.0801124,-77.61965768858099,43.08086468667035
-77.6201448,43.0800995,-77.61779975536088,43.076032525043836
-77.6201448,43.0800995,-77.61933215680847,43.07815370193762
-77.6201414,43.0800929,-77.61658380206127,43.078002080998004
-77.6201414,43.0800929,-77.62071400209909,43.080308396499255
-77.6201266,43.080085,-77.61777273625688,43.07751872641914
-77.6201266,43.080085,-77.61678139111348,43.080028981645704
-77.6201225,43.0800799,-77.62245233570086,43.080185520712696
-77.6201225,43.0800799,-77.62031897389097,43.077097310651254
-77.6201203,43.0800691,-77.6229402533816,43.08025872535553
-77.6201203,43.0800691,-77.62163760080695,43.081378611198694
-77.6201164,43.0800587,-77.62023940397134,43.07873853180301
-77.6201164,43.0800587,-77.62189372962804,43.08018490030439
-77.6201083,43.0800501,-77.61701228799257,43.07946482802553
-77.6201083,43.0800501,-77.62091354280308,43.08065666864565
-77.6201025,43.0800457,-77.62226921093047,43.08074673030826
-77.6201025,43.0800457,-77.61876828384366,43.079362362014535
-77.6200908,43.0800402,-77.62119487240253,43.079050671064344
-77.6200908,43.0800402,-77.6177603097728,43.0790302638572
-77.6200847,43.080039,-77.61839848590924,43.08182326830876
-77.6200847,43.080039,-77.62042367147066,43.08040306477656
-77.6200734,43.0800363,-77.62299130011851,43.08056538231143
-77.6200734,43.0800363,-77.62055202995495,43.083299307662024
-77.6200596,43.0800346,-77.62223960345813,43.079159363513924
-77.6200596,43.0800346,-77.61964728986685,43.08224444989441
-77.6200488,43.0800338,-77.6181542118963,43.080605307605
-77.6200488,43.0800338,-77.62031021995533,43.07957117858485
-77.6200358,43.0800357,-77.620610945439,43.07920680162427
-77.6200358,43.0800357,-77.62074093608372,43.078950861648224
-77.6200078,43.0800392,-77.62049236956892,43.08190394761306
-77.6200078,43.0800392,-77.61986944124432,43.08009365385663
-77.6199964,43.0800475,-77.62245267700087,43.080180581182645
-77.6199964,43.0800475,-77.6184944774245,43.08222714878685
-77.6199909,43.0800553,-77.61599247245029,43.08476055461762
-77.6199909,43.0800553,-77.62090123993464,43.082163802340204
-77.6199867,43.0800655,-77.61952605177132,43.08065876218457
-77.6199867,43.0800655,-77.61827440969613,43.08156870092632
-77.6199826,43.0800772,-77.62023474165734,43.08058852563825
-77.6199826,43.0800772,-77.62352005954553,43.081210443811386
-77.6199801,43.0800851,-77.62207369533637,43.075374940140186
-77.6199801,43.0800851,-77.6203558736582,43.08054079198658
-77.619977,43.0800911,-77.61923217274457,43.07802802889428
-77.619977,43.0800911,-77.62103348664589,43.07927807775949
-77.619974,43.0800997,-77.61938824495026,43.080645442440854
-77.619974,43.0800997,-77.61898871545104,43.08058141128616
-77.6199718,43.080104,-77.62012714715937,43.0806641051653
-77.6199718,43.080104,-77.62069693521524,43.0806216920265
-77.619968,43.0801133,-77.6204374697673,43.07714144850555
-77.619968,43.0801133,-77.62058322079132,43.08133303928766
-77.6199632,43.0801263,-77.61903554453843,43.081118428022926
-77.6199632,43.0801263,-77.62023032693513,43.07909165780981
-77.6199587,43.0801329,-77.61949826686823,43.07973740936898
-77.6199587,43.0801329,-77.61704887469241,43.07862621939585
-77.6199557,43.0801444,-77.62157250610687,43.08253937404543
-77.6199557,43.0801444,-77.6178359607006,43.07969614168234
-77.6199475,43.0801558,-77.61859323849352,43.08071018207955
-77.6199475,43.0801558,-77.6224538318007,43.082873264477755
-77.6199394,43.0801633,-77.61999761914433,43.08076613195948
-77.6199394,43.0801633,-77.62225992001399,43.08701292579231
-77.6199327,43.0801695,-77.62058407314966,43.076279191176525
-77.6199327,43.0801695,-77.61672269519669,43.07658090327966
-77.6199247,43.0801758,-77.61939771669198,43.08196251980016
-77.6199247,43.0801758,-77.62251263669283,43.07869104026595
-77.6199201,43.0801826,-77.61838159199036,43.078793861239255
-77.6199201,43.0801826,-77.62125651279291,43.080168903558054
-77.6199151,43.0801893,-77.61845922945686,43.07926198850111
-77.6199151,43.0801893,-77.62092018071411,43.080965358542976
-77.6199115,43.0801942,-77.61974506427046,43.07783813168806
-77.6199115,43.0801942,-77.6208962810632,43.08281718250105
-77.619907,43.0802016,-77.61708579700118,43.0798794774064
-77.619907,43.0802016,-77.6221740645357,43.08487429258345
-77.6199048,43.0802058,-77.62022097749777,43.07972375239452
-77.6199048,43.0802058,-77.61889902163713,43.080694177682616
-77.6199018,43.0802133,-77.61639103603832,43.081757387358905
-77.6199018,43.0802133,-77.62572351022528,43.07851103978574
-77.6198974,43.0802221,-77.62029063507455,43.08022221654544
-77.6198974,43.0802221,-77.62166320018919,43.07816327566186
-77.6198935,43.0802356,-77.61992465104674,43.07962709102963
-77.6198935,43.0802356,-77.62034644042247,43.08004940615589
-77.6198887,43.0802443,-77.61889787767137,43.082973318955936
-77.6198887,43.0802443,-77.61956112997353,43.08505372679609
-77.6198826,43.0802555,-77.61951548299152,43.07928324175136
-77.6198826,43.0802555,-77.61956958618481,43.07994089899558
-77.6198744,43.0802625,-77.62128335955913,43.07996387638412
-77.6198744,43.0802625,-77.62296237502977,43.08152331342629
-77.6198683,43.0802673,-77.62137304538092,43.080364903921286
-77.6198683,43.0802673,-77.6215647983173,43.07939175930724
-77.6198563,43.0802777,-77.61701874577489,43.08262410560063
-77.6198563,43.0802777,-77.6192792004547,43.080281396456016
-77.6198473,43.0802839,-77.61864058990476,43.0810014434637
-77.6198473,43.0802839,-77.61916334451286,43.08114273051278
-77.6198381,43.0802883,-77.61945793466543,43.080807155610884
-77.6198381,43.0802883,-77.61887493768734,43.081426098004144
-77.6198308,43.0802914,-77.61944601549457,43.078179229038255
-77.6198308,43.0802914,-77.61888192299513,43.082085434012185
-77.6198214,43.0802945,-77.62006578224052,43.081437454298396
-77.6198214,43.0802945,-77.62038251167216,43.081148042479235
-77.619807,43.0803059,-77.61956829982475,43.080145238053724
-77.619807,43.0803059,-77.62053161318278,43.08142524106859
-77.6197931,43.0803079,-77.62111877399266,43.079604329563374
-77.6197931,43.0803079,-77.62185416036786,43.083306594355996
-77.619785,43.08031,-77.62015936229606,43.08077333939999
-77.619785,43.08031,-77.62108852423903,43.08070453298461
-77.6197751,43.0803125,-77.62037132063253,43.079843255811575
-77.6197751,43.0803125,-77.6154084854323,43.081655279311356
-77.6197606,43.0803172,-77.62198299958128,43.07714607786401
-77.6197606,43.0803172,-77.61898431031949,43.08087347056169
-77.6197492,43.0803184,-77.62028008900387,43.077217397087836
-77.6197492,43.0803184,-77.61891869517656,43.07798422279413
-77.6197455,43.0803188,-77.61994845353269,43.08212269525337
-77.6197455,43.0803188,-77.61514712029576,43.080022622440104
-77.6197368,43.0803197,-77.61946832210323,43.08040536777677
-77.6197368,43.0803197,-77.62048688976007,43.07887520077495
-77.61973,43.0803202,-77.62111155948467,43.080665426321914
-77.61973,43.0803202,-77.61902475870691,43.080884077551325
-77.619724,43.0803199,-77.61928726479385,43.07979828477397
-77.619724,43.0803199,-77.61716940926024,43.07990064870885
-77.619714,43.0803202,-77.62043369307399,43.08080350335055
-77.619714,43.0803202,-77.61922008654024,43.08017456350601
-77.619701,43.0803212,-77.62155801543545,43.08011531656304
-77.619701,43.0803212,-77.62316506067907,43.07827003339322
-77.619694,43.0803224,-77.61983583345479,43.079875342117006
-77.619694,43.0803224,-77.61813570200158,43.07808846598771
-77.6196837,43.0803246,-77.61601900288376,43.08157254960742
-77.6196837,43.0803246,-77.62354895549615,43.081385268721284
-77.6196814,43.0803261,-77.62137378003621,43.0823585448687
-77.6196814,43.0803261,-77.61916870816965,43.0803775592121
-77.6196758,43.080328,-77.61955953311642,43.080549550605845
-77.6196758,43.080328,-77.62013280174084,43.080286691113265
-77.6196634,43.0803404,-77.62572874778053,43.07538345431376
-77.6196634,43.0803404,-77.62158374561419,43.07946413994671
-77.619658,43.0803428,-77.62022013106335,43.0782896164038
-77.619658,43.0803428,-77.62006642473608,43.08197906401121
-77.6196517,43.0803451,-77.61980775599098,43.07895055758439
-77.6196517,43.0803451,-77.61957457317669,43.08039670172915
-77.6196424,43.0803484,-77.61362700374754,43.082737850252435
-77.6196424,43.0803484,-77.61953581303332,43.080706923261324
-77.6196314,43.0803514,-77.618522822239,43.08064941174367
